Wall time,Step,Value
1626902155.500327,0,0.9243191480636597
1626902184.4436924,1,0.38958489894866943
1626902214.6293855,2,0.34730279445648193
1626902243.5774329,3,0.32870206236839294
1626902272.36068,4,0.2322070449590683
1626902302.5095618,5,0.18950137495994568
1626902331.446331,6,0.17249290645122528
1626902360.3604593,7,0.16398651897907257
1626902389.5385568,8,0.1533554196357727
1626902418.407084,9,0.15000797808170319
1626902447.4990225,10,0.11737056821584702
1626902476.883389,11,0.11585263907909393
1626902506.0668736,12,0.12077030539512634
1626902535.6602829,13,0.11369912326335907
1626902565.7282755,14,0.11320152133703232
1626902594.9365408,15,0.10859094560146332
